Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,31,170,2022,1
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),272,530,2022,1
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,10,18,2022,1
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),58,92,2022,1
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,46,49,2022,1
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),191,191,2022,1
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,12,113,2022,1
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),40,177,2022,1
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",ST,Gender-Neutral,115,210,2022,1
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),326,326,2022,1
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,529,627,2022,1
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),930,930,2022,1
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,247,253,2022,1
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),280,280,2022,1
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,593,705,2022,1
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1170,1170,2022,1
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,777,778,2022,1
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1196,1196,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Gender-Neutral,32,96,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),219,219,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,99,116,2022,1
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,216,296,2022,1
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),735,735,2022,1
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,515,712,2022,1
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1127,1127,2022,1
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,742,1018,2022,1
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),960,960,2022,1
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,550,629,2022,1
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1173,1173,2022,1
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,84,122,2022,1
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),227,227,2022,1
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,420,513,2022,1
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),866,866,2022,1
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,637,765,2022,1
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1332,1332,2022,1
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1029,1115,2022,1
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1473,1473,2022,1
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,500,651,2022,1
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),837,837,2022,1
Indian Institute of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,663,663,2022,1
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1062,1098,2022,1
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1046,1046,2022,1
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1163,1241,2022,1
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),1132,1132,2022,1
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",ST,Gender-Neutral,1292,1313,2022,1
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1471,1471,2022,1
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",ST,Gender-Neutral,1247,1297,2022,1
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",ST,Female-only (including Supernumerary),1539,1539,2022,1
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,120,942,2022,1
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1009,1085,2022,1
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),846,846,2022,1
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,477,635,2022,1
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),687,687,2022,1
Indian Institute of Technology Kharagpur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,744,771,2022,1
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",ST,Gender-Neutral,1164,1367,2022,1
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1398,1398,2022,1
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,476,508,2022,1
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),817,817,2022,1
Indian Institute of Technology Kharagpur,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,528,655,2022,1
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,29,39,2022,1
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),110,110,2022,1
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,50,64,2022,1
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),220,220,2022,1
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",ST,Gender-Neutral,819,1040,2022,1
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),835,835,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,212,278,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),382,382,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,357,407,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,67,165,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),238,238,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,173,250,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),394,394,2022,1
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",ST,Gender-Neutral,1174,1276,2022,1
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1550,1550,2022,1
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,510,620,2022,1
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),605,605,2022,1
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,900,965,2022,1
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,405,448,2022,1
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),751,751,2022,1
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,592,870,2022,1
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1326,1326,2022,1
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,986,986,2022,1
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",ST,Gender-Neutral,98,243,2022,1
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),450,450,2022,1
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,410,495,2022,1
Indian Institute of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,501,784,2022,1
Indian Institute of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),1275,1275,2022,1
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,48,714,2022,1
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),987,987,2022,1
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,856,999,2022,1
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,800,924,2022,1
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1542,1542,2022,1
Indian Institute of Technology Kharagpur,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1065,1166,2022,1
Indian Institute of Technology Kharagpur,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1108,1108,2022,1
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",ST,Gender-Neutral,973,1032,2022,1
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1390,1390,2022,1
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1088,1124,2022,1
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",ST,Gender-Neutral,1156,1251,2022,1
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1526,1526,2022,1
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",ST,Gender-Neutral,82,95,2022,1
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,944,944,2022,1
Indian Institute of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,939,939,2022,1
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,583,689,2022,1
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),877,877,2022,1
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,519,537,2022,1
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),859,859,2022,1
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,357,357,2022,1
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,42,61,2022,1
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),86,86,2022,1
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,158,316,2022,1
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),343,343,2022,1
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",ST,Gender-Neutral,273,273,2022,1
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,947,977,2022,1
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,275,400,2022,1
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),912,912,2022,1
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",ST,Gender-Neutral,992,992,2022,1
