,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
50,Indian Institute of Technology Mandi,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,2155,2217,2022,4
51,Indian Institute of Technology Mandi,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),3573,3573,2022,4
52,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1650,1848,2022,4
53,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3000,3000,2022,4
54,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,333,426,2022,4
55,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),857,857,2022,4
56,Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,466,521,2022,4
57,Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1087,1087,2022,4
58,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,870,1100,2022,4
59,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2034,2034,2022,4
60,Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1865,1877,2022,4
61,Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3188,3188,2022,4
62,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1235,1501,2022,4
63,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2863,2863,2022,4
64,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,850,910,2022,4
65,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2308,2475,2022,4
66,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,401,490,2022,4
67,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),957,1007,2022,4
