Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),965,1260,2022,1
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,918,1299,2022,1
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2146,2562,2022,1
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1424,1721,2022,1
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2606,2873,2022,1
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1799,1945,2022,1
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2565,2701,2022,1
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,174,263,2022,1
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),583,600,2022,1
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,557,917,2022,1
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1611,1789,2022,1
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1250,1582,2022,1
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2571,2677,2022,1
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1826,2295,2022,1
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2825,3305,2022,1
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,546,1036,2022,1
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1830,1830,2022,1
Indian Institute of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,1101,1116,2022,1
Indian Institute of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),1616,1616,2022,1
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1724,2093,2022,1
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3248,3248,2022,1
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,2116,2332,2022,1
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),3296,3296,2022,1
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",SC,Gender-Neutral,2503,2675,2022,1
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),3837,3837,2022,1
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",SC,Gender-Neutral,1892,3120,2022,1
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",SC,Female-only (including Supernumerary),3970,3970,2022,1
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1448,1785,2022,1
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3167,3167,2022,1
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,824,1926,2022,1
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),3052,3052,2022,1
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,715,1154,2022,1
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1631,1908,2022,1
Indian Institute of Technology Kharagpur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,1332,1487,2022,1
Indian Institute of Technology Kharagpur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),2038,2038,2022,1
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",SC,Gender-Neutral,2350,2622,2022,1
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),3545,3545,2022,1
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,240,1372,2022,1
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1909,2302,2022,1
Indian Institute of Technology Kharagpur,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,1488,1551,2022,1
Indian Institute of Technology Kharagpur,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),2316,2316,2022,1
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,47,85,2022,1
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),131,147,2022,1
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,59,139,2022,1
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),338,510,2022,1
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",SC,Gender-Neutral,1118,1772,2022,1
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),2205,2205,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,311,420,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),803,934,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,461,712,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),1073,1073,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,144,245,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),537,537,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,289,523,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),797,855,2022,1
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",SC,Gender-Neutral,2369,2657,2022,1
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),3636,3636,2022,1
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,767,1107,2022,1
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1610,1610,2022,1
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,1189,1314,2022,1
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),2414,2414,2022,1
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,379,733,2022,1
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1308,1308,2022,1
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1463,1754,2022,1
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2823,2823,2022,1
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,1483,1802,2022,1
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),3002,3002,2022,1
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",SC,Gender-Neutral,250,478,2022,1
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),1142,1410,2022,1
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,533,815,2022,1
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1656,1836,2022,1
Indian Institute of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,820,1029,2022,1
Indian Institute of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),2075,2287,2022,1
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1211,1557,2022,1
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2490,2795,2022,1
