,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
57,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),887,887,2022,4
58,Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1299,1306,2022,4
59,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,903,932,2022,4
60,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1183,1183,2022,4
61,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,697,924,2022,4
62,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1201,1201,2022,4
63,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,469,545,2022,4
64,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),764,764,2022,4
65,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,598,626,2022,4
66,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),974,974,2022,4
67,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,31,170,2022,4
68,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),272,530,2022,4
69,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,10,18,2022,4
70,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),58,92,2022,4
71,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,46,49,2022,4
72,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),191,191,2022,4
73,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,12,114,2022,4
74,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),40,177,2022,4
75,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",ST,Gender-Neutral,115,210,2022,4
76,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),326,326,2022,4
77,Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,529,627,2022,4
78,Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),930,930,2022,4
79,Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,247,253,2022,4
80,Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1105,1105,2022,4
81,Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,593,705,2022,4
82,Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1170,1170,2022,4
83,Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,777,810,2022,4
84,Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1240,1240,2022,4
85,Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Gender-Neutral,32,96,2022,4
86,Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),219,219,2022,4
87,Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,99,116,2022,4
88,Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,216,296,2022,4
89,Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),735,735,2022,4
90,Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,515,712,2022,4
91,Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1127,1127,2022,4
92,Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,742,1020,2022,4
93,Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),960,960,2022,4
94,Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,550,629,2022,4
95,Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1173,1173,2022,4
96,Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,84,122,2022,4
97,Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),227,227,2022,4
98,Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,420,513,2022,4
99,Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),866,866,2022,4
100,Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,637,778,2022,4
101,Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1332,1332,2022,4
102,Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1029,1115,2022,4
103,Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),48P,48P,2022,4
104,Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,500,663,2022,4
105,Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),837,837,2022,4
106,Indian Institute of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,719,719,2022,4
107,Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1062,1098,2022,4
108,Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1046,1046,2022,4
