Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,83,102,2022,1
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),360,360,2022,1
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,732,933,2022,1
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),1699,1699,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,284,320,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),502,502,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,375,423,2022,1
Indian Institute of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),898,898,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,133,194,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),476,485,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,256,308,2022,1
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),688,688,2022,1
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,1642,1787,2022,1
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),3627,3627,2022,1
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,767,821,2022,1
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1889,1889,2022,1
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1014,1157,2022,1
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,363,417,2022,1
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1242,1242,2022,1
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1071,1194,2022,1
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2594,2594,2022,1
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1211,1221,2022,1
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",EWS,Gender-Neutral,200,253,2022,1
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,431,632,2022,1
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1412,1490,2022,1
Indian Institute of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,731,873,2022,1
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1121,1201,2022,1
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2317,2317,2022,1
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1315,1399,2022,1
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1149,1271,2022,1
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3018,3018,2022,1
Indian Institute of Technology Kharagpur,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1497,1534,2022,1
Indian Institute of Technology Kharagpur,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1631,1688,2022,1
